PH,DO,TEMP,SALT,암모니아,아질산
8.28962,7.28363,27.1939,20.981,0.123605,0.44879
5.51532,7.4689,27.21836,20.995,0.104647,0.942
7.32343,6.0061,27.31064,20.977,0.03359,1.05
7.7599,7.37904,27.29316,21.012,0.045069,1.00319
5.51594,7.46639,27.27918,21.003,0.104827,1.05
7.33118,7.38185,27.29876,20.998,0.09417,0.44634
7.21696,7.29347,27.35678,20.99,0.094916,0.26321
8.15798,7.35621,27.41224,20.992,0.106554,0.43837
5.53079,7.43051,27.40571,20.995,0.095745,1.05
7.22328,5.94079,27.39732,20.988,0.24129,0.90895
7.83188,5.94698,27.40711,20.931,0.24129,0.18243
7.45585,7.349,27.38893,20.891,0.217208,0.2797
7.78751,7.29313,27.40851,20.904,0.025288,0.4403
7.82199,6.05285,27.50776,20.91,0.006655,1.05
7.67851,7.47216,27.51196,20.913,0.094296,0.66018
7.25683,7.31764,27.49659,20.912,0.038688,0.72078
5.51483,7.47839,27.50987,20.903,0.24129,0.25923
7.82209,7.33948,27.49729,20.919,0.24129,1.05
7.22539,7.3905,27.50637,20.926,0.152964,0.44014
5.51297,7.31357,27.52175,20.93,0.111424,0.60988
7.56268,6.27433,27.52874,20.973,0.149253,0.42934
7.47812,7.36778,27.51756,20.937,0.24129,1.05
7.57654,7.46026,27.49799,20.887,0.094318,0.81977
7.44173,7.46849,27.49519,20.835,0.24129,1.05
5.51367,7.31622,27.49938,20.829,0.152515,0.21916
7.87329,7.40531,27.50917,20.814,0.094703,0.37099
8.09867,7.40359,27.51336,20.824,0.24129,0.56694
8.0229,7.49449,27.52427,20.818,0.088173,0.48202
7.81657,7.30906,27.52595,20.822,0.24129,1.05
7.27519,7.3404,27.52874,20.825,0.094488,0.36534
8.12359,7.43192,27.53154,20.805,0.095011,0.43107
8.03042,7.44488,27.54552,20.827,0.010212,0.29794
8.03271,7.25462,27.60145,20.823,0.24129,1.05
5.46637,7.49136,27.56649,20.834,0.082482,0.93637
8.01873,7.23219,27.50428,20.752,0.24129,0.44595
8.11614,7.25019,27.44626,20.567,0.24129,0.47394
5.56518,7.46225,27.40152,20.356,0.101534,1.05
7.93773,7.23107,27.30784,20.219,0.138511,0.31699
8.05169,5.95813,27.30365,20.127,0.24129,0.6365
7.30896,7.44582,27.33161,20.089,0.210982,0.60184
7.95807,7.39174,27.41186,20.098,0.186029,0.44052
5.54263,7.27645,27.40152,20.108,0.24129,1.05
5.5368,7.31403,27.40781,20.098,0.089704,0.4684
7.87643,5.84609,27.39313,20.095,0.049717,0.21481
7.90257,7.44652,27.412,20.089,0.125254,0.69528
7.55074,7.49751,27.45584,20.093,0.24129,0.73298
5.53934,6.00292,27.43041,20.095,0.00025,1.05
7.50982,7.31581,27.41969,20.04,0.017961,1.05
8.0036,7.31558,27.50847,20.012,0.125291,0.79697
7.46847,7.49217,27.49309,20.009,0.144407,0.43339
8.03964,5.64771,27.50008,20.002,0.102029,0.75573
7.59248,5.59898,27.51266,20.004,0.072262,0.43164
5.51223,7.23513,27.52525,20.006,0.095201,0.40724
7.97021,7.42067,27.61123,20.01,0.24129,0.21203
5.51222,7.4322,27.61263,20.01,0.159883,1.05
8.03196,7.31483,27.63605,20.072,0.062173,0.7302
5.51206,7.21903,27.72667,20.069,0.092402,0.71243
5.51361,5.41825,27.7091,20.097,0.078411,0.43859
7.58144,7.46904,27.70351,20.097,0.24129,0.76777
7.83947,5.33335,27.73426,20.01,0.133016,0.72997
5.53477,7.23377,27.71748,19.991,0.094913,0.43832
7.90961,7.34556,27.73146,19.942,0.140513,1.05
5.53925,7.26569,27.72867,19.931,0.203974,1.05
5.54028,7.37086,27.71469,19.913,0.139359,0.51667
8.11877,5.57961,27.69791,19.927,0.188063,1.05
5.54334,7.44797,27.70351,19.928,0.030208,1.05
7.64024,5.69387,27.71469,19.929,0.101131,0.83488
8.03104,7.31514,27.72867,19.925,0.24129,0.80967
5.5376,7.46212,27.69512,19.928,0.094943,1.05
5.53507,5.79879,27.70211,19.939,0.087501,0.43494
7.92808,7.30952,27.7049,19.938,0.135915,0.12123
8.01201,7.4615,27.71259,19.934,0.094747,0.25087
5.56506,7.49363,27.7063,19.885,0.214782,0.15116
7.78517,7.38061,27.72587,19.842,0.208589,0.93307
8.18413,7.27159,27.7105,19.86,0.24129,0.59078
5.55041,7.44497,27.7063,19.85,0.109059,0.4403
7.98004,6.0921,27.72028,19.85,0.158789,0.88691
7.81778,6.10627,27.71749,19.838,0.002865,0.24025
8.11613,7.26132,27.71749,19.837,0.110165,0.61737
5.51211,6.1522,27.7063,19.84,0.095193,0.44103
8.25456,7.28733,27.7063,19.842,0.095669,0.43584
5.50633,6.23171,27.7063,19.841,0.082598,0.92987
8.01583,7.38034,27.7063,19.843,0.180926,0.53585
5.49342,7.32278,27.7077,19.85,0.02361,0.09638
7.39729,7.24638,27.66296,19.813,0.043588,0.44331
7.36464,7.27733,27.61962,19.766,0.24129,1.05
7.62663,6.04692,27.62941,19.779,0.047781,0.43953
7.5782,7.3453,27.6336,19.728,0.094562,0.31776
7.98941,5.93143,27.61403,19.591,0.086847,0.71303
5.53948,5.8416,27.60144,19.455,0.24129,0.44486
8.23748,5.85979,27.60144,19.293,0.09478,1.05
7.25867,7.28561,27.61682,19.192,0.073969,0.53321
7.42742,7.32035,27.71888,19.113,0.041707,0.87939
8.28888,7.23025,27.71889,19.106,0.089867,0.00536
7.20854,7.20845,27.82514,19.108,0.136633,0.42904
7.84928,7.42792,27.82514,19.106,0.050183,0.43446
5.56596,7.25531,27.93838,19.112,0.09364,0.40639
7.77172,7.38829,27.92091,19.065,0.094166,0.44225
7.56592,7.26916,27.93279,19.038,0.081381,0.02026
8.28154,7.23948,28.01808,19.031,0.24129,1.05
7.42469,7.20265,28.02647,19.037,0.094572,0.68888
5.56616,7.41077,28.03346,19.034,0.094963,0.63997
7.7501,7.41672,28.12503,19.036,0.142131,0.561
5.53347,7.49329,28.13832,19.045,0.094653,0.44232
7.89765,5.06911,28.12294,19.041,0.24129,1.05
7.69628,7.23401,28.14111,19.037,0.040276,0.50092
8.17912,7.26215,28.1495,19.037,0.139437,0.43171
7.58173,7.4964,28.15509,19.041,0.073328,0.69181
8.26692,7.2186,28.1495,19.042,0.157069,1.05
7.42972,7.26713,28.11874,19.035,0.24129,0.44738
5.54023,5.26465,28.13342,19.2111,0.060521,0.44201
8.05557,5.35931,28.12014,20.64781,0.201255,0.67146
7.50159,7.36681,28.12294,20.49255,0.052869,0.43706
8.0564,7.3433,28.12573,18.94,0.094029,0.4436
8.15712,7.28225,28.13831,19.43532,0.24129,0.3564
7.30019,7.44686,28.14251,18.942,0.211142,0.52134
7.4845,5.67028,28.15649,20.51732,0.125162,1.05
7.20017,7.25009,28.11943,20.48155,0.24129,0.44407
7.67287,7.30606,28.04604,21.69369,0.158049,0.71322
5.54004,7.45979,28.03905,20.31712,0.095897,0.43411
7.62607,7.47909,28.03486,21.3879,0.078986,0.07838
5.54058,7.45954,28.03066,18.941,0.24129,0.43982
5.54076,5.97212,28.03206,20.00918,0.24129,0.70806
8.22051,6.02845,27.95796,19.36985,0.164523,0.17577
7.59763,6.07577,27.93363,20.42806,0.095382,1.05
7.36438,6.10372,27.91881,20.27435,0.170879,1.05
7.58439,7.39467,27.91742,19.04312,0.053881,1.05
8.10294,7.44468,27.91881,18.864,0.199576,0.84662
7.30509,6.16714,27.91881,20.90126,0.094997,1.05
7.38438,7.29646,27.9314,21.20644,0.142408,0.03504
5.51208,6.27209,27.92719,20.82309,0.095596,0.45565
8.17541,7.25381,27.90412,21.31535,0.24129,0.51478
7.99709,6.0817,27.93279,19.37633,0.031597,0.42
8.14548,7.24163,27.93838,18.874,0.020775,0.84515
7.51174,7.49639,27.84192,20.08997,0.095108,0.43095
7.30038,7.47238,27.91811,19.33802,0.24129,0.76095
5.48406,5.94836,27.9314,20.45072,0.016716,1.05
8.2204,7.4082,27.92301,19.87725,0.09495,0.84294
7.3037,5.91028,28.0027,18.783,0.24129,0.67999
5.48254,5.92055,28.03486,21.97225,0.24129,0.22758
7.57293,5.92052,28.11874,21.72504,0.094275,1.05
7.48268,7.22356,28.15929,18.779,0.095308,0.44067
7.53543,7.41748,28.24038,18.795,0.133606,0.44527
5.48995,7.49791,28.26904,19.31965,0.24129,0.43556
5.48381,5.97959,28.34943,20.80182,0.24129,1.05
5.48825,7.3665,28.33755,18.868,0.094608,0.19184
7.61064,7.26031,28.33545,18.85,0.127501,0.31467
7.86956,7.27515,28.35642,20.56638,0.164724,0.81769
7.22438,6.13522,28.44031,21.36379,0.24129,1.05
7.80359,7.26172,28.46267,19.55331,0.24129,0.44603
5.50529,7.22875,28.4473,18.775,0.159613,0.83256
5.49124,6.13915,28.46407,20.13785,0.09556,0.42744
8.03817,7.30115,28.47386,18.79,0.190962,1.05
7.48689,7.26859,28.55075,19.44933,0.24129,0.44289
8.09546,7.29487,28.55634,21.9201,0.070484,0.44303
7.26934,7.36762,28.57033,18.791,0.194436,0.02986
8.17896,7.49544,28.56194,18.774,0.041053,0.64535
7.36401,6.09314,28.53677,20.99749,0.24129,0.78698
7.91417,7.29932,28.55495,19.16414,0.122037,0.44362
7.22453,7.33223,28.48155,21.56403,0.24129,0.18714
8.25757,7.36468,28.45429,19.9622,0.012799,0.50306
7.8632,6.14469,28.4417,21.4145,0.24129,0.40493
7.73378,7.28895,28.44031,19.87691,0.024269,0.35183
7.49929,7.40658,28.4445,18.706,0.19348,0.5439
5.48744,7.26861,28.4445,19.86149,0.162375,1.05
8.26548,6.1941,28.4445,18.714,0.120362,0.67969
7.80383,6.21473,28.4417,19.6407,0.013782,0.92026
7.32572,7.3695,28.44031,20.54401,0.064277,0.45635
7.32626,7.25984,28.43891,21.06754,0.24129,0.81743
8.26925,7.47473,28.46827,20.02952,0.095139,0.81549
7.36275,7.26194,28.45149,18.712,0.24129,0.36328
5.49847,7.4506,28.4459,18.662,0.158073,0.83209
7.27171,6.29607,28.38662,20.89167,0.084805,0.34302
7.44192,7.35982,28.36061,18.603,0.159699,0.14797
5.51258,7.27289,28.35083,18.549,0.094247,0.43016
7.22729,7.31469,28.33685,18.546,0.087593,0.43113
7.94677,6.34036,28.32706,20.60641,0.24129,0.36341
7.76211,6.38457,28.32287,21.32762,0.083637,0.29864
7.48351,7.40031,28.34803,19.4594,0.081671,0.08151
5.48485,7.26534,28.33265,18.538,0.24129,0.35472
7.94386,6.38421,28.31587,19.2094,0.0944,0.16032
5.53733,7.44821,28.24597,21.26104,0.117779,0.73359
7.53947,6.13343,28.14321,19.18733,0.150098,0.41228
7.49568,6.15553,28.12573,21.7378,0.18097,0.53559
5.6104,6.06048,28.06352,17.904,0.095624,1.05
8.17789,6.00453,27.94258,17.638,0.24129,0.88638
5.63147,7.32906,27.90483,19.59401,0.24129,0.82387
7.31728,5.9724,27.91602,19.89417,0.24129,0.27526
5.61667,5.96795,27.91043,19.34652,0.080335,0.36359
7.32298,7.46499,27.9279,17.382,0.054527,1.05
7.56748,5.84883,27.95097,19.65905,0.032263,0.25733
8.24043,5.72798,28.02647,20.39652,0.212957,0.43631
8.27236,5.61353,27.96635,17.474,0.24129,0.92246
7.86839,7.3047,27.92161,17.479,0.09571,0.4278
7.63785,5.44859,28.0013,21.24279,0.24129,0.26129
6.27299,5.44396,28.03346,17.524,0.184075,0.13765
6.27173,7.34242,28.08588,19.20792,0.094931,0.35079
7.24317,5.43037,28.09567,21.36684,0.09508,1.05
6.26236,5.3173,28.13132,21.01709,0.094911,0.58641
8.12001,5.24274,28.08588,20.21347,0.202953,0.42944
8.12303,7.2059,28.04884,21.21679,0.1569,1.05
7.5627,7.23881,28.09008,20.88827,0.009298,1.05
7.65608,7.22647,28.1425,19.35402,0.093975,0.15845
7.89047,7.39892,28.1481,21.22849,0.24129,0.56135
6.22065,7.36206,28.12573,20.62371,0.24129,1.05
7.26228,7.39051,28.13412,21.41711,0.24129,0.88004
6.19516,7.38965,28.13692,17.4,0.095834,1.05
8.27951,7.3871,28.12573,17.4,0.095756,0.80211
7.64443,7.44056,28.12713,20.41773,0.094666,0.4381
6.1581,5.18743,28.03905,20.39562,0.111311,0.85876
6.14483,5.24333,28.02367,21.54981,0.196102,0.68167
6.13878,5.30762,28.02787,17.318,0.036319,0.43403
8.03489,5.34759,28.03066,17.307,0.17233,1.05
7.74263,5.42219,28.03346,20.67229,0.187088,0.88165
7.24625,5.48549,28.05443,20.72848,0.0985,0.4484
7.56173,7.44817,28.04324,19.67572,0.161854,0.0919
7.63906,7.30468,28.03206,17.309,0.24129,0.43026
6.11736,7.44839,28.02088,17.316,0.009896,0.87611
6.10868,7.28496,28.03206,20.22768,0.09456,1.05
7.29229,5.67605,28.02088,20.27837,0.24129,0.15782
6.08866,7.44602,28.02647,19.0436,0.095039,0.44218
6.09096,7.42707,28.00829,21.6988,0.24129,0.44897
7.75054,7.29994,27.9272,20.61125,0.24129,0.86328
6.16187,7.32032,27.91951,17.214,0.157001,0.70768
7.59957,5.46768,27.90064,20.28252,0.138376,1.05
6.3049,7.20985,27.82514,20.83258,0.131982,0.47331
7.89162,5.28441,27.79159,20.02525,0.19039,0.44668
7.9257,7.22989,27.7091,19.99305,0.180949,1.05
6.32592,7.38653,27.7112,20.96854,0.24129,0.65092
7.26142,7.25292,27.7063,19.54951,0.156216,0.60694
8.03342,7.29716,27.71469,20.47984,0.133433,1.05
8.07696,7.35039,27.70211,16.652,0.24129,0.01889
7.60462,7.24358,27.71469,20.81239,0.068939,0.0753
7.49861,7.39337,27.72867,20.40105,0.160347,0.84793
7.46209,7.44779,27.72028,20.80548,0.094513,0.44783
6.30275,7.4879,27.71539,19.82249,0.24129,0.23919
7.24089,7.28576,27.72168,21.1603,0.095546,0.89918
7.68831,7.22714,27.80557,16.582,0.09566,0.31458
8.06207,7.46161,27.81815,21.94717,0.095752,0.40946
7.61597,7.31311,27.83073,16.587,0.24129,0.44105
7.43752,7.34885,27.93279,19.63058,0.094929,0.25793
7.33312,5.28702,27.92021,16.652,0.187823,0.43705
8.02626,7.35579,27.90623,16.655,0.095226,0.43578
7.68998,7.28409,27.9272,16.657,0.115524,0.99254
6.29963,5.40403,27.93559,19.51659,0.24129,0.43685
8.0892,7.45647,27.93559,16.653,0.017447,0.11425
6.2712,7.2441,27.92021,19.38555,0.145943,0.90917
7.47362,5.34591,27.90483,21.79269,0.083925,1.05
7.90358,5.37543,27.90623,19.87878,0.24129,0.06494
7.93294,7.28264,27.91742,16.573,0.190278,0.91241
7.67118,7.37166,27.92021,21.11592,0.177963,0.44092
7.7979,7.28459,27.91742,16.593,0.072828,0.22995
7.42188,7.35745,27.91462,19.05314,0.217186,0.37562
6.29715,7.48428,27.90483,16.567,0.102209,0.94399
8.07891,7.30063,27.91112,16.566,0.24129,0.44508
8.15679,7.26371,27.9272,20.76305,0.095802,0.37528
7.3557,5.71734,27.91043,20.60611,0.24129,0.67371
6.30093,7.49033,27.90763,20.04186,0.095571,0.44033
8.16104,7.44283,27.91532,16.552,0.094646,0.66161
7.62186,7.27038,27.82514,20.10611,0.09418,0.17072
7.20386,7.21762,27.81815,21.18261,0.24129,0.43494
7.92115,5.91723,27.82794,19.57501,0.095466,0.01054
7.39485,7.23175,27.82514,19.01461,0.080538,0.6072
7.57777,7.49454,27.82235,16.42,0.24129,0.43767
7.71836,7.4266,27.83353,20.58329,0.24129,0.61423
7.35077,7.34866,27.81675,21.00342,0.094029,0.43063
7.83158,7.40952,27.81116,20.1659,0.07733,1.05
8.1485,7.27785,27.78879,20.44596,0.166,0.54294
6.32489,6.03794,27.7407,16.41,0.095201,0.36998
7.98981,7.26204,27.72392,20.0886,0.198578,1.05
7.25137,6.01948,27.7063,19.93814,0.24129,0.45929
6.32067,7.38006,27.7077,19.86652,0.002661,0.43855
6.32647,6.11682,27.68183,20.69681,0.094572,0.66008
6.33046,7.44655,27.62102,20.97805,0.24129,1.05
7.79513,6.18374,27.60564,21.31471,0.24129,0.5401
6.33052,7.34643,27.60144,19.91859,0.082528,1.05
7.67591,6.22865,27.60144,21.62706,0.1364,0.31679
7.35651,7.31593,27.61682,19.82212,0.008285,0.37494
8.29456,7.22557,27.62102,16.336,0.190813,1.05
7.78735,7.48523,27.61263,21.29275,0.24129,0.67322
7.45785,6.26668,27.62102,20.56813,0.24129,0.20159
6.29903,7.24055,27.61543,16.332,0.214437,0.61653
7.7294,7.26695,27.62102,21.42507,0.061111,1.05
6.29907,7.34635,27.60144,19.526,0.24129,0.23363
6.31461,6.37958,27.62801,21.62251,0.177366,0.40148
7.92185,7.39144,27.60005,21.59362,0.119217,1.05
6.31163,6.39027,27.60144,16.228,0.24129,1.05
6.327,7.48123,27.61263,19.11266,0.24129,0.24922
7.87046,7.26788,27.60704,21.07332,0.065619,0.66735
6.31347,7.25077,27.55671,15.896,0.24129,0.44521
8.17714,7.41042,27.61263,21.65777,0.24129,0.62048
7.32533,7.22097,27.60564,21.1338,0.191949,0.07575
8.27716,7.37287,27.61822,20.72179,0.109825,0.73634
7.65305,7.4742,27.67624,21.78822,0.151565,0.85019
6.24648,7.4292,27.71469,15.84,0.045428,0.88288
6.24605,7.29395,27.71889,15.845,0.178988,1.05
8.04102,7.26014,27.71469,15.838,0.24129,0.43166
6.24978,5.98076,27.71469,15.756,0.24129,0.70688
6.24695,7.31681,27.73426,15.752,0.215181,0.45229
7.71489,7.385,27.73706,19.69913,0.183645,1.05
6.24568,7.47073,27.72867,20.69955,0.094007,0.43407
8.13436,7.23661,27.73147,21.28093,0.114743,1.05
7.34766,7.39844,27.73426,21.60461,0.073981,0.44706
7.57369,7.35345,27.70629,21.19732,0.094874,0.54271
8.29842,7.37324,27.62941,19.52188,0.094122,0.43334
6.25104,6.18164,27.62242,15.767,0.094909,0.43787
8.15675,7.48479,27.61263,15.751,0.1173,0.12898
6.25101,7.47337,27.60564,15.755,0.133549,0.8448
7.57723,7.43908,27.60564,15.752,0.094794,0.44554
7.81982,7.21818,27.61543,15.676,0.021507,0.76315
7.70172,7.44855,27.53993,21.88664,0.09402,0.01116
6.24593,6.27553,27.51336,21.27228,0.24129,0.79831
6.25079,6.28373,27.49799,15.622,0.04015,1.05
8.02998,6.29232,27.50078,21.80185,0.205088,0.8399
8.09855,6.29759,27.50078,20.78095,0.018508,0.44165
7.80418,7.32619,27.49799,20.21744,0.174422,0.65731
8.14335,7.29804,27.49239,20.26762,0.24129,1.05
6.222,7.39967,27.4882,20.41499,0.116369,0.0633
7.28655,7.38356,27.51267,21.2687,0.161096,0.44818
8.07994,7.44524,27.49799,20.31552,0.24129,1.05
8.24444,7.35365,27.51895,21.94569,0.140828,1.05
7.40078,7.42321,27.44206,20.88662,0.025208,0.22339
7.60817,6.41054,27.39453,15.552,0.095097,1.05
7.64474,7.48154,27.39872,15.508,0.24129,0.29543
7.68136,7.24241,27.42528,21.16386,0.022964,0.43271
7.27888,5.96503,27.42528,19.66926,0.057476,0.06353
6.15216,5.91144,27.42528,21.40979,0.164428,0.73493
6.14264,7.20901,27.39313,21.95485,0.200005,0.44429
7.89853,7.43521,27.40571,15.499,0.196446,1.05
7.4678,7.29267,27.47701,15.504,0.006686,0.44032
7.95852,5.72038,27.50358,19.17844,0.047474,0.1218
7.80012,7.42939,27.49379,19.22689,0.24129,0.9916
6.08185,5.74803,27.51336,15.562,0.095737,0.9137
8.16736,7.40279,27.53154,20.06246,0.24129,0.43177
7.84081,5.8655,27.52315,19.12037,0.169971,0.01484
6.0903,7.28621,27.52035,19.89659,0.041103,0.43306
7.32921,5.95831,27.57908,19.59889,0.107914,0.47807
6.09578,7.48058,27.60145,20.07618,0.078133,0.43004
8.29076,7.3464,27.53853,15.375,0.011873,0.79861
7.79407,7.48572,27.50078,19.93822,0.181498,1.00023
6.21403,6.10285,27.51336,19.83743,0.053229,1.05
7.7222,6.09732,27.47281,15.126,0.169822,0.43667
7.2513,7.46959,27.51895,21.20093,0.119773,0.22014
8.29873,6.11301,27.50497,21.85433,0.095555,0.07554
7.59087,6.09265,27.50498,15.176,0.076444,0.43913
7.93014,7.3187,27.49659,19.71767,0.115355,0.38983
6.53741,7.24579,27.491,20.15549,0.072474,0.66384
7.32182,7.47772,27.4854,15.093,0.095184,0.57139
7.86376,7.28237,27.4896,20.67915,0.136205,0.44034
6.56212,6.1472,27.49239,19.06735,0.095396,1.05
7.55349,7.36561,27.50637,20.9238,0.156129,0.80051
6.56003,7.21592,27.52595,19.0162,0.072228,0.44821
7.61321,6.15728,27.57908,15.1,0.24129,1.05
7.45886,7.40507,27.61822,15.098,0.190348,0.21778
6.56632,7.37599,27.61263,21.46276,0.09554,0.01926
7.371,7.29802,27.61962,20.41483,0.095907,0.43272
7.38375,7.42708,27.59306,21.40911,0.094751,1.05
8.09879,7.25444,27.59865,20.70784,0.210551,0.69698
7.43536,7.40406,27.60424,15.088,0.24129,0.01035
8.08413,7.21856,27.635,21.33702,0.210267,0.36617
7.68227,6.1685,27.62381,20.07937,0.099485,1.05
7.73951,6.14715,27.62661,21.5219,0.207578,1.05
6.56491,7.42315,27.635,20.67843,0.120831,0.60986
6.56118,6.1139,27.61403,20.40718,0.095428,0.23033
7.47041,7.25073,27.60704,19.94666,0.10513,1.05
6.56277,7.49783,27.59865,21.77123,0.175572,0.61022
8.29271,7.36386,27.60983,21.25854,0.026347,1.05
7.95655,6.05464,27.61822,20.17776,0.24129,1.05
7.68439,6.06257,27.62242,21.91455,0.144345,1.05
6.53949,7.24629,27.62941,19.89564,0.097014,0.69706
7.65235,7.30776,27.62521,19.46928,0.076951,0.4427
6.55628,7.24485,27.61263,20.98116,0.12528,0.00788
7.89845,7.44777,27.61403,14.971,0.027643,0.43187
7.80464,7.29096,27.52874,14.88,0.24129,0.12783
7.27643,7.27912,27.47701,21.47637,0.094108,0.44011
7.28285,7.25369,27.37076,14.614,0.24129,0.59818
7.94704,7.25855,27.29456,21.54292,0.24129,1.05
7.54567,7.38299,27.22186,14.307,0.095827,0.44243
7.8042,7.38088,27.17922,14.158,0.208298,0.66235
6.52813,7.42816,27.10512,14.09,0.24129,0.99822
7.78201,5.9689,27.08974,14.036,0.24129,0.43881
6.48861,7.2771,27.09393,19.14878,0.094512,1.05
6.48014,7.26917,27.14566,21.12335,0.088694,0.28843
6.48037,5.9999,27.20998,20.1591,0.059428,0.89806
8.24495,5.9913,27.18202,21.55378,0.095431,0.1163
6.47882,7.28178,27.18202,21.98849,0.095509,1.05
8.24561,7.43195,27.18202,13.943,0.095505,0.01138
8.08344,7.3899,27.18761,20.76747,0.094108,0.43591
7.34512,7.24119,27.20019,21.58563,0.24129,0.9301
6.44897,7.29078,27.20299,19.23896,0.160202,0.42488
8.00064,9.94877,27.189,13.955,0.16365,0.48345
7.34446,11.53142,27.20019,13.957,0.166128,0.88803
7.51025,12.69052,27.24353,20.86594,0.095701,0.64071
7.67489,7.33157,27.30505,19.79395,0.009949,0.92038
7.99112,7.48384,27.29526,20.74719,0.24129,0.90806
6.43126,7.351,27.30575,14.039,0.24129,1.00355
8.03229,14.78924,27.30085,19.07262,0.121023,1.05
7.63225,7.23039,27.30645,13.954,0.24129,0.52017
7.48315,7.32613,27.30924,13.961,0.215124,1.05
7.37784,7.46243,27.28198,20.82048,0.094094,0.43047
7.65723,7.48424,27.28827,19.11206,0.156554,0.88748
7.2807,7.43214,27.31204,13.95,0.24129,0.43602
8.18692,7.39945,27.35818,20.81916,0.049962,0.91472
7.7137,7.43965,27.4141,13.953,0.24129,0.44887
7.65215,9.97933,27.40291,20.99335,0.24129,0.43383
7.83385,7.42756,27.4113,21.63624,0.098117,1.05
7.5603,7.47159,27.38474,19.52383,0.19213,0.44563
7.66934,7.36274,27.39592,13.941,0.215119,0.80567
7.98309,7.31356,27.40152,21.47936,0.24129,0.07164
7.79631,7.27782,27.41689,21.47681,0.072368,1.05
7.98634,7.27975,27.40291,13.877,0.195271,0.21654
8.24957,8.90936,27.39453,19.5698,0.161234,0.3062
6.50796,7.37591,27.39173,13.859,0.18392,0.445
6.49332,7.21505,27.39732,13.865,0.094678,0.91455
7.56902,9.13353,27.40571,19.77074,0.138417,1.05
7.66966,7.21072,27.4141,21.76426,0.24129,0.59384
7.80063,9.01217,27.4155,13.86,0.09884,0.70632
7.68856,9.06145,27.41829,13.86,0.077482,0.31027
8.21884,7.22084,27.39732,20.46048,0.068329,0.4451
7.78558,7.24782,27.39033,21.92826,0.196176,0.76707
8.20875,7.39414,27.39732,21.16337,0.013546,0.08641
8.00275,8.97156,27.4127,19.05559,0.122397,0.26819
8.11045,9.06026,27.39173,21.60688,0.24129,1.05
6.48303,9.08036,27.38055,19.23694,0.047046,0.63371
6.47976,7.22717,27.39732,19.1303,0.094164,1.05
6.46027,8.93014,27.40851,20.49172,0.192368,0.36396
6.43097,8.88579,27.40152,20.87258,0.24129,1.05
6.40534,7.21493,27.44625,20.95781,0.153578,1.00993
8.05701,7.28495,27.49868,21.18998,0.24129,0.43172
7.50658,7.24137,27.54832,21.88481,0.09585,0.53841
7.85578,7.31486,27.61822,13.788,0.24129,0.36986
7.20481,12.53837,27.60284,19.93302,0.094497,0.29027
8.20293,7.22571,27.68044,21.12261,0.161663,0.87417
7.31312,10.0887,27.7049,13.862,0.24129,0.36393
7.63846,7.2853,27.71469,20.44541,0.064318,0.79791
7.94823,7.38714,27.71539,21.01933,0.17017,1.05
7.25491,7.43302,27.7063,20.01316,0.24129,0.67312
7.20132,9.80483,27.73007,19.56696,0.096499,0.69001
8.02106,7.26051,27.79998,20.93073,0.095708,1.05
6.50276,9.96086,27.83073,13.865,0.216751,0.07625
8.10238,7.34131,27.82374,13.879,0.061707,0.43869
